lag_1,lag_2,lag_3,return_1d,ma_5,ma_10,target
117.44,117.14,116.475,0.0024693460490463615,117.09700000000001,117.22649999999999,1
117.73,117.44,117.14,0.001953622695999302,117.349,117.2755,0
117.96,117.73,117.44,-0.0025432349949134903,117.58599999999998,117.25250000000001,1
117.66,117.96,117.73,0.0033146353901070125,117.768,117.29749999999999,0
118.05,117.66,117.96,-0.0019483269800931735,117.84400000000001,117.33349999999999,1
117.82,118.05,117.66,0.00025462570022072306,117.86799999999998,117.4825,1
117.85,117.82,118.05,0.009843020789138901,118.078,117.7135,0
119.01,117.85,117.82,-0.00016805310478118507,118.34400000000001,117.965,1
118.99,119.01,117.85,0.00571476594671827,118.668,118.21799999999999,1
119.67,118.99,119.01,0.0005849419236232389,119.05199999999999,118.44799999999998,0
119.74,119.67,118.99,-0.0030065141139135054,119.35799999999999,118.61300000000001,1
119.38,119.74,119.67,0.0018428547495392689,119.476,118.777,0
119.6,119.38,119.74,-0.005351170568561825,119.46999999999998,118.907,0
118.96,119.6,119.38,-0.003110289172831071,119.25399999999999,118.96099999999998,1
118.59,118.96,119.6,0.0027826966860611257,119.09,119.071,0
118.92,118.59,118.96,-0.005381769256643132,118.87,119.11399999999999,1
118.28,118.92,118.59,0.003719986472776382,118.694,119.085,1
118.72,118.28,118.92,0.004885444743935263,118.76199999999999,119.11599999999999,1
119.3,118.72,118.28,0.0003352891869237151,118.91199999999999,119.08300000000001,0
119.34,119.3,118.72,-0.0033517680576504727,118.91600000000001,119.003,0
118.94,119.34,119.3,-0.004708256263662336,118.93599999999999,118.90299999999999,0
118.38,118.94,119.34,-0.006757898293630604,118.708,118.701,1
117.58,118.38,118.94,0.00025514543289673064,118.37,118.566,0
117.61,117.58,118.38,-0.006972196241816109,117.85999999999999,118.38600000000001,1
116.79,117.61,117.58,0.003681822073807517,117.516,118.21600000000001,0
117.22,116.79,117.61,-0.0010237160894045472,117.26000000000002,118.098,1
117.1,117.22,116.79,0.0075149444918873876,117.34,118.024,1
117.98,117.1,117.22,0.001610442447872451,117.452,117.91100000000002,0
118.17,117.98,117.1,-0.004908183126004939,117.61200000000001,117.73599999999999,1
117.59,118.17,117.98,0.0020409898800917148,117.734,117.625,0
117.83,117.59,118.17,-0.0003394721208520579,117.872,117.566,0
117.79,117.83,117.59,-0.002292214958825145,117.78,117.56000000000002,1
117.52,117.79,117.83,0.0009360108917630949,117.672,117.56199999999998,0
117.63,117.52,117.79,0.0,117.67999999999999,117.646,1
117.63,117.63,117.52,0.002125308169684592,117.68999999999998,117.71199999999999,1
117.88,117.63,117.63,0.002884289107567106,117.776,117.824,0
118.22,117.88,117.63,-0.005751987819319848,117.78,117.78,1
117.54,118.22,117.88,0.004253871022630529,117.86200000000001,117.76699999999998,0
118.04,117.54,118.22,-0.0015249068112505038,117.90800000000002,117.79400000000001,0
117.86,118.04,117.54,-0.00933310707619206,117.68400000000001,117.68700000000001,0
116.76,117.86,118.04,-0.004110996916752319,117.296,117.53599999999999,0
116.28,116.76,117.86,-0.003353973168214619,116.96600000000001,117.373,1
115.89,116.28,116.76,0.0018983518854085446,116.58000000000001,117.221,0
116.11,115.89,116.28,-0.0005167513564723336,116.218,117.06299999999999,1
116.05,116.11,115.89,0.0032744506678157315,116.152,116.918,0
116.43,116.05,116.11,-0.006441638752898715,116.032,116.66400000000002,0
115.68,116.43,116.05,-0.00389004149377592,115.9,116.43300000000002,1
115.23,115.68,116.43,0.0012149613815846116,115.752,116.16600000000001,0
115.37,115.23,115.68,-0.003640461125075878,115.532,115.875,1
114.95,115.37,115.23,0.003218790778599212,115.30999999999999,115.731,0
115.32,114.95,115.37,-0.0015608740894900164,115.202,115.617,1
115.14,115.32,114.95,0.009987840889352118,115.41399999999999,115.657,1
116.29,115.14,115.32,0.004041620087711806,115.69200000000001,115.72200000000001,0
116.76,116.29,115.14,-0.0005138746145940676,116.042,115.787,1
116.7,116.76,116.29,0.005998286203941827,116.458,115.88399999999999,1
117.4,116.7,116.76,0.003066439522998232,116.98200000000001,116.09200000000001,1
117.76,117.4,116.7,0.003311820652173836,117.354,116.38399999999999,0
118.15,117.76,117.4,-0.0008463817181549871,117.61200000000001,116.652,0
118.05,118.15,117.76,-0.00033883947479873555,117.874,116.958,1
118.01,118.05,118.15,0.002796373188712842,118.06199999999998,117.26000000000002,0
118.34,118.01,118.05,-0.0004225114078080239,118.168,117.575,1
118.29,118.34,118.01,0.005917659988164514,118.33600000000001,117.845,0
118.99,118.29,118.34,-0.0012606101353054289,118.494,118.053,1
118.84,118.99,118.29,0.0023561090541905916,118.71600000000001,118.295,0
119.12,118.84,118.99,-0.0029382135661518705,118.80199999999999,118.43200000000002,1
118.77,119.12,118.84,0.0010524543234824435,118.923,118.54549999999999,1
118.895,118.77,119.12,0.0007149165229825005,118.921,118.6285,0
118.98,118.895,118.77,-0.0008404773911582231,118.929,118.7115,0
118.88,118.98,118.895,-0.00042059219380885526,118.87100000000001,118.79350000000002,1
118.83,118.88,118.98,0.0042918454935623185,118.98499999999999,118.89349999999999,0
119.34,118.83,118.88,-0.004273504273504369,118.97200000000001,118.94749999999999,0
118.83,119.34,118.83,-0.001178153664899484,118.91400000000002,118.91749999999999,0
118.69,118.83,119.34,0.0,118.876,118.9025,1
118.69,118.69,118.83,0.005139438874378621,118.96999999999998,118.92049999999999,1
